FID,Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,Sub Location,Spatial_Re,Facility Type,Agency,Latitude,Longitude,GlobalID,x,y
1056,136,WILSON AIRPORT DISP,3337,NAIROBI,NAIROBI,KIBERA,NAIROBI WEST,NAIROBI WEST,GPS,4,MOH,-1.30921,36.80738,840e75c0-25a6-4595-8fc9-64e167520c26,4097378.79903453,-145753.274631934
1057,63,MUTEMBUKU SUB HEALTH CENTRE,654,EASTERN,MAKUENI,KALAWA,KATHULUMBI,MUTEMBUKU,GPS,3,MOH,-1.69642,37.81112,2f4e5ebd-3217-4989-9458-b09c85903424,4209114.62472337,-188872.208090553
1058,6,IKUMBO (PCEA) DISP,2524,EASTERN,SOUTH MERU,MWIMBI,GANGA,MUGUMANGO,ILRI VILLAGES,4,MISS,-0.27,37.73,df7cd680-d063-4046-8ddc-3ed3f51f3ed3,4200084.38763022,-30056.373756076
1059,12,KITUI ROAD N.Y.S. DISP,0,EASTERN,MWINGI,NGUNI,UKASI,UKASI,1:50000 MAPS,4,MOH,-0.782321,38.48241,18fafed0-b836-456a-9b98-adfd6204bc16,4283842.28569799,-87090.2814946528
1060,137,WOODLEY DISP,55,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,WOODLEY,GPS,4,LA,-1.30227,36.77706,2f45b447-c164-4561-8dba-5d57ff87568e,4094003.59207368,-144980.516704423
1061,64,MUTYAMBUA SUB HEALTH CENTRE,1003,EASTERN,MAKUENI,MBITINI,MUTYAMBUA,MUTISWA,GPS,3,MOH,-1.94467,37.44551,c501e086-ceb3-403e-a59a-75e26e1369da,4168415.10569444,-216521.249666448
1062,7,IKUU DISP,3443,EASTERN,SOUTH MERU,MAGUMONI,KABUBONI,KANYAKINI,1:50000 MAPS,4,MISS,-0.372752,37.6561,33d3d760-375b-48ee-86ba-ed71531ef4ef,4191857.87726059,-41494.8555432985
1063,13,KONYU DISP,4196,EASTERN,MWINGI,MUUMONI,KATSE,KONYU,DSA/DFH(MOH)-UNFPA REPORT,4,MOH,-0.479087,38.0282,68832021-0c03-474d-b3c3-fb43c7e9f8ce,4233279.85978477,-53332.3423632227
1064,1,ABIDHA HC,1343,NYANZA,BONDO,RARIEDA,EAST ASEMBO,OMIA MWALO,GPS,3,MOH,-0.15902,34.41064,790a950a-9df5-43e6-be28-0c2719babc13,3830574.92267066,-17702.0481523478
1065,65,MUUA RURAL HEALTH CENTRE,0,EASTERN,MAKUENI,KILOME,KITAINGO,KIONGWANI,HD MAPS,3,MISS,-1.89966,37.3093,a3dbfd2f-0ca0-47cf-b531-af10d02dd34a,4153252.27785349,-211507.938341634
1066,8,IRIGA DISP,1085,EASTERN,SOUTH MERU,MUTHAMBI,MUTHAMBI,IRIGA,DHMT,4,MISS,-0.27,37.61,fc041521-56bd-4ed2-be22-faf578f381f0,4186726.04873503,-30056.373756076
1067,2,ANYUONGI DISP,0,NYANZA,BONDO,BONDO,SOUTH SAKWA,EAST MIGWENA,GPS,4,MOH,-0.17618,34.27613,178b56ff-4e2c-4cc4-b008-701b53b35321,3815601.33796406,-19612.2987941473
1068,66,MWANYANI HC,1004,EASTERN,MAKUENI,MBITINI,MULALA,MAATHA,GPS,4,MOH,-2.02779,37.51138,391656aa-c67d-4f5f-a010-f05be50ff9ee,4175747.72055299,-225779.689158135
1069,14,KYAENI DISP,4584,EASTERN,MWINGI,CENTRAL,KIOMO,KIOMO,1:50000 MAPS,4,MOH,-0.93231,37.98253,74e7b201-bc32-4ef0-a2ca-15690d133044,4228195.89864024,-103788.854661787
1070,9,ITUGURURU DISP,4129,EASTERN,SOUTH MERU,IGAMBANG'OMBE,ITUNGURURU,MBOGONI,1:50000 MAPS,4,MISS,-0.415323,37.7083,33da00cf-6dc8-4b03-9dc2-5f23c253f0e3,4197668.75468,-46233.9497659384
1071,3,ARO COMMUNITY HOSP.,0,NYANZA,BONDO,BONDO,NORTH SAKWA,BAR CHANDO,GPS,1,NGO,-0.06953,34.35579,516f99aa-d524-4668-98d2-c3c5c8fbd77a,3824469.04860065,-7740.04609457775
1072,67,MWEINI DISP,247,EASTERN,MAKUENI,NGUU,MWEINI,MWEINI,GPS,4,MOH,-2.06572,37.68008,a08436cb-5389-4c73-8615-42c8f4504f5e,4194527.31864982,-230004.733034646
1073,16,KYUSO G. K. PRISON DISP,0,EASTERN,MWINGI,KYUSO,KYUSO,GAI,1:50000 MAPS,4,MOH,-0.592321,38.192324,c9c24b11-64c6-42b3-9349-eb825696093a,4251550.05989173,-65938.0466187875
1074,10,KAANWA DISP,1088,EASTERN,SOUTH MERU,CHUKA,KARINGANI,KARONGONI,ILRI MKT CENTRES,4,MISS,-0.318921,37.716311,a2c1c684-ea66-44a9-bc7f-6f28838a673c,4198560.53512075,-35502.3066506884
1075,68,NGAI DISP,1008,EASTERN,MAKUENI,MBOONI,KITHUNGO,NGAI,HD MAPS,4,MOH,-1.7158,37.4947,c8d2be71-7f79-4435-acb8-b730b4831114,4173890.91144656,-191030.536639248
1076,4,BONDO DISTRICT HOSPITAL,1367,NYANZA,BONDO,BONDO,BONDO TOWNSHIP,NYAWITA(BONDO),GPS,1,MOH,-0.09021,34.2745,cc526e89-1a76-4704-be18-7ffa5a8aaec5,3815419.88719406,-10042.135413415
